capital-gain,education-num,relationship,workclass,native-country,education,hours-per-week,fnlwgt,marital-status,race,capital-loss,sex,occupation,age,income
0,9,Husband,Private,United-States,Bachelors,40,258538,Married-civ-spouse,White,0,Male,Sales,38,<=50K
0,10,Husband,Private,United-States,Bachelors,40,166892,Married-civ-spouse,White,0,Male,Craft-repair,35,<=50K
0,9,Own-child,Private,United-States,HS-grad,40,54760,Married-civ-spouse,Black,0,Male,Sales,29,>50K
0,11,Husband,Private,United-States,Bachelors,40,112283,Married-civ-spouse,White,0,Male,Machine-op-inspct,46,<=50K
0,9,Not-in-family,Private,United-States,HS-grad,40,71615,Divorced,White,0,Female,Exec-managerial,37,<=50K
0,9,Husband,Federal-gov,United-States,Some-college,40,290168,Married-civ-spouse,White,0,Male,Craft-repair,19,<=50K
0,6,Husband,Local-gov,United-States,Bachelors,20,145869,Married-civ-spouse,White,0,Male,Adm-clerical,27,<=50K
0,10,Husband,Private,United-States,Some-college,40,212120,Never-married,White,0,Male,Other-service,25,<=50K
0,10,Not-in-family,Private,United-States,HS-grad,50,206789,Married-civ-spouse,White,0,Male,Sales,37,<=50K
0,9,Not-in-family,Private,United-States,Bachelors,40,120131,Never-married,White,0,Male,Transport-moving,34,<=50K
0,9,Husband,Private,United-States,Some-college,40,242977,Married-civ-spouse,White,0,Male,Craft-repair,26,<=50K
0,13,Husband,Private,United-States,Bachelors,15,72812,Married-civ-spouse,White,0,Male,Craft-repair,26,<=50K
0,9,Not-in-family,Private,United-States,Bachelors,40,182975,Married-civ-spouse,White,0,Male,Exec-managerial,34,<=50K
0,9,Husband,Private,United-States,HS-grad,30,179514,Widowed,White,0,Male,Transport-moving,28,<=50K
0,9,Other-relative,Private,United-States,Assoc-voc,50,172071,Never-married,Black,1977,Male,Prof-specialty,30,<=50K
0,10,Husband,Private,United-States,HS-grad,30,121636,Married-civ-spouse,White,0,Male,Handlers-cleaners,37,<=50K
0,13,Unmarried,Private,United-States,Bachelors,40,234594,Never-married,White,0,Female,Craft-repair,39,<=50K
0,10,Husband,Private,United-States,Some-college,40,85724,Widowed,White,0,Female,Exec-managerial,36,<=50K
0,9,Own-child,Private,United-States,Masters,42,215924,Never-married,White,0,Male,Machine-op-inspct,44,<=50K
0,13,Husband,Private,United-States,HS-grad,40,143608,Married-civ-spouse,White,0,Male,Other-service,29,<=50K
0,9,Own-child,Self-emp-inc,United-States,HS-grad,45,171482,Never-married,White,0,Female,Transport-moving,35,<=50K
0,9,Own-child,Private,United-States,Bachelors,35,160828,Never-married,White,0,Male,Sales,53,>50K
0,9,Husband,Private,United-States,HS-grad,40,32509,Never-married,White,0,Male,Prof-specialty,35,<=50K
0,9,Husband,Private,United-States,7th-8th,40,195540,Married-civ-spouse,White,0,Male,Exec-managerial,19,>50K
0,10,Not-in-family,Private,United-States,Bachelors,40,132439,Never-married,White,0,Male,Tech-support,19,<=50K
15024,13,Husband,Private,United-States,HS-grad,40,196373,Married-civ-spouse,White,0,Male,Exec-managerial,29,<=50K
7896,10,Not-in-family,Private,United-States,Assoc-voc,40,32244,Married-civ-spouse,White,0,Male,Prof-specialty,35,<=50K
0,14,Not-in-family,Private,United-States,Bachelors,40,231728,Never-married,White,0,Female,Prof-specialty,41,>50K
0,9,Husband,Private,United-States,10th,40,142078,Married-civ-spouse,White,0,Male,Sales,41,<=50K
0,9,Husband,Self-emp-not-inc,United-States,HS-grad,50,148877,Married-civ-spouse,White,0,Male,Adm-clerical,34,>50K
0,12,Husband,Private,United-States,Bachelors,40,15984,Married-civ-spouse,White,0,Female,Sales,31,<=50K
0,9,Own-child,Private,United-States,HS-grad,40,43836,Never-married,White,0,Female,Handlers-cleaners,32,<=50K
0,9,Husband,Private,United-States,HS-grad,30,97423,Never-married,White,0,Male,Tech-support,35,>50K
0,9,Own-child,Federal-gov,United-States,Some-college,40,193426,Divorced,White,0,Female,Prof-specialty,36,>50K
0,10,Husband,Local-gov,United-States,Some-college,30,193090,Married-civ-spouse,White,0,Male,Craft-repair,52,<=50K
0,9,Not-in-family,Private,United-States,HS-grad,30,134926,Married-civ-spouse,White,0,Female,Transport-moving,28,<=50K
0,10,Husband,Self-emp-not-inc,United-States,Masters,40,178529,Married-civ-spouse,White,0,Male,Transport-moving,38,<=50K
0,13,Not-in-family,Private,United-States,HS-grad,40,170099,Never-married,White,0,Male,Machine-op-inspct,44,<=50K
6767,9,Husband,Private,United-States,Masters,40,188548,Married-civ-spouse,White,0,Female,Exec-managerial,35,<=50K
0,14,Wife,Private,United-States,Bachelors,50,282056,Never-married,White,0,Male,Craft-repair,27,<=50K
0,13,Husband,Private,United-States,Some-college,40,160822,Married-civ-spouse,White,0,Male,Prof-specialty,33,<=50K
0,11,Not-in-family,Private,Italy,Some-college,30,150639,Never-married,White,0,Male,Sales,17,<=50K
0,11,Unmarried,Private,United-States,Some-college,35,176357,Married-civ-spouse,White,0,Female,Exec-managerial,35,>50K
0,8,Not-in-family,Private,United-States,HS-grad,50,297885,Divorced,White,0,Female,Other-service,23,<=50K
0,9,Not-in-family,Private,United-States,HS-grad,40,243345,Never-married,White,0,Male,Craft-repair,33,<=50K
0,4,Husband,Private,United-States,11th,40,280309,Never-married,White,0,Male,Machine-op-inspct,60,<=50K
0,13,Husband,Self-emp-not-inc,United-States,HS-grad,40,109065,Married-civ-spouse,White,0,Male,Prof-specialty,44,<=50K
0,10,Unmarried,Private,United-States,Bachelors,40,138852,Married-civ-spouse,White,0,Male,Prof-specialty,70,<=50K
0,9,Husband,Private,United-States,HS-grad,40,362639,Married-civ-spouse,White,0,Male,Handlers-cleaners,28,<=50K
0,9,Husband,Private,United-States,Some-college,40,148207,Married-civ-spouse,White,0,Male,Craft-repair,34,>50K
0,2,Not-in-family,Private,United-States,Some-college,40,163065,Never-married,White,0,Male,Craft-repair,42,<=50K
0,9,Husband,Private,United-States,Bachelors,40,122037,Married-civ-spouse,White,0,Female,Exec-managerial,48,<=50K
0,9,Not-in-family,Private,United-States,Some-college,40,217304,Never-married,White,0,Male,Prof-specialty,65,>50K
0,11,Own-child,Private,United-States,Bachelors,40,230156,Married-civ-spouse,White,0,Female,Prof-specialty,27,<=50K
0,9,Husband,Private,United-States,Some-college,40,142856,Married-civ-spouse,White,0,Male,Exec-managerial,22,>50K
0,9,Husband,Private,United-States,Some-college,45,61456,Married-civ-spouse,White,0,Female,Craft-repair,44,<=50K
0,13,Own-child,Private,United-States,Some-college,40,156745,Married-civ-spouse,White,0,Female,Sales,56,<=50K
0,12,Other-relative,Private,United-States,Bachelors,40,231895,Divorced,White,0,Male,Craft-repair,34,>50K
0,11,Not-in-family,Private,United-States,HS-grad,40,249983,Married-civ-spouse,White,0,Male,Adm-clerical,44,<=50K
0,9,Husband,Local-gov,United-States,HS-grad,40,189832,Never-married,White,0,Female,Craft-repair,35,<=50K
0,9,Not-in-family,Private,United-States,Bachelors,40,176414,Never-married,White,0,Male,Sales,49,<=50K
0,10,Husband,Self-emp-not-inc,United-States,Some-college,40,169031,Married-civ-spouse,White,0,Female,Handlers-cleaners,56,>50K
0,10,Husband,Private,United-States,Some-college,40,86867,Married-civ-spouse,White,0,Male,Sales,20,>50K
0,13,Husband,Private,United-States,Some-college,40,164572,Married-civ-spouse,White,0,Male,Craft-repair,41,<=50K
0,4,Husband,Private,United-States,Bachelors,40,261492,Married-civ-spouse,White,0,Male,Craft-repair,24,<=50K
0,13,Not-in-family,Private,United-States,Bachelors,60,121615,Divorced,White,0,Male,Other-service,48,<=50K
0,10,Husband,Private,United-States,Some-college,40,167611,Never-married,White,0,Male,Transport-moving,51,<=50K
0,9,Husband,Private,United-States,Some-college,40,40165,Married-civ-spouse,White,0,Male,Prof-specialty,31,<=50K
0,13,Not-in-family,Private,United-States,12th,40,162620,Married-civ-spouse,White,0,Male,Exec-managerial,43,<=50K
0,13,Husband,Private,United-States,Bachelors,40,297531,Married-civ-spouse,White,0,Male,Machine-op-inspct,37,<=50K
0,10,Husband,State-gov,United-States,Some-college,40,178610,Married-civ-spouse,White,0,Male,Sales,47,>50K
0,9,Husband,Private,United-States,HS-grad,40,188759,Married-civ-spouse,White,0,Female,Transport-moving,58,>50K
0,10,Own-child,Private,United-States,Masters,50,134438,Married-civ-spouse,White,0,Female,Adm-clerical,34,<=50K
0,10,Own-child,Private,United-States,Some-college,40,107611,Never-married,White,0,Female,Other-service,57,>50K
0,13,Not-in-family,Private,United-States,Some-college,40,305024,Never-married,White,0,Female,Prof-specialty,25,>50K
0,13,Husband,Private,United-States,Bachelors,45,95885,Married-civ-spouse,White,0,Male,Prof-specialty,35,<=50K
