V4,V11,V14,V2,V8,V5,V1,V15,V13,V9,V3,V6,V7,V10,V12,V16,Class
tertiary,may,-1,management,no,no,57,2,3,unknown,divorced,353,no,4,136,unknown,1
secondary,may,-1,unemployed,no,no,35,0,3,cellular,married,2915,yes,17,54,unknown,1
secondary,jul,-1,blue-collar,yes,no,37,0,2,unknown,married,1713,yes,7,542,unknown,1
secondary,jul,-1,technician,no,no,47,0,3,cellular,single,-179,yes,23,107,unknown,1
secondary,aug,-1,unemployed,no,no,28,0,1,cellular,married,614,no,20,53,unknown,2
secondary,may,-1,blue-collar,yes,no,38,0,1,cellular,married,716,yes,17,126,unknown,1
secondary,jul,-1,blue-collar,yes,no,61,0,3,cellular,married,29,yes,19,152,unknown,1
tertiary,aug,-1,blue-collar,no,no,50,0,2,cellular,divorced,-37,yes,16,103,unknown,1
secondary,nov,-1,management,no,no,34,0,2,unknown,single,-312,no,13,173,unknown,1
secondary,may,-1,management,no,no,48,0,1,cellular,married,794,no,22,419,failure,1
secondary,feb,-1,management,no,no,55,0,1,telephone,married,2962,no,20,138,unknown,1
secondary,jul,-1,management,no,no,41,0,2,unknown,married,695,yes,7,363,unknown,1
secondary,jun,-1,technician,no,no,45,0,4,cellular,divorced,8,yes,11,246,unknown,1
tertiary,feb,-1,services,no,no,34,3,1,cellular,married,217,no,30,871,unknown,1
primary,may,-1,admin.,yes,no,41,4,4,cellular,divorced,196,yes,13,85,failure,2
secondary,jun,260,services,no,no,44,0,4,cellular,single,697,yes,7,136,unknown,1
secondary,jul,-1,management,no,no,42,0,3,cellular,married,888,no,6,143,unknown,1
primary,may,-1,management,no,no,36,0,4,unknown,single,623,yes,18,8,unknown,1
tertiary,aug,-1,admin.,no,no,37,0,3,cellular,married,351,no,10,150,unknown,1
primary,jul,-1,blue-collar,no,no,37,0,1,cellular,married,0,yes,29,150,unknown,1
secondary,jul,-1,services,no,no,37,0,1,cellular,married,887,no,26,182,failure,1
secondary,sep,-1,technician,no,no,35,0,1,cellular,single,410,yes,28,175,unknown,1
unknown,aug,-1,management,no,no,46,0,1,unknown,married,-113,yes,18,758,unknown,1
secondary,may,-1,management,no,no,36,0,1,cellular,single,0,no,23,172,unknown,2
primary,apr,-1,retired,no,no,56,0,7,cellular,married,705,no,26,656,unknown,1
secondary,apr,288,entrepreneur,no,no,43,0,4,cellular,married,-507,no,14,94,unknown,1
secondary,jul,-1,management,no,no,59,0,5,cellular,single,-239,yes,17,77,failure,1
secondary,jul,-1,blue-collar,no,no,49,0,2,cellular,married,2622,yes,14,2,unknown,1
tertiary,may,-1,technician,no,no,41,0,4,cellular,single,-119,no,25,170,unknown,1
secondary,jun,-1,technician,no,no,56,0,4,unknown,single,631,yes,12,613,unknown,2
secondary,jun,-1,management,no,no,58,0,5,cellular,married,1313,yes,8,76,unknown,1
